index,brand,Model,gpu_type,Vram,processor_brand,processor_tier,ram_memory,primary_storage_type,primary_storage_capacity,is_touch_screen,display_size,resolution_width,resolution_height,OS,Price
131,acer,Acer Extensa 15 EX215-33 2023 Laptop (Intel Core i3 N305/ 8GB/ 512GB TRUE/ Win11 Home),integrated,0,intel,core i3,8,TRUE,512,FALSE,15.6,1920,1080,windows,30990
132,lenovo,Lenovo IdeaPad Slim 3 82KU0238IN Laptop (AMD Ryzen 5 5500U/ 16GB/ 512GB TRUE/ Win11 Home),integrated,0,amd,ryzen 5,16,TRUE,512,FALSE,15.6,1920,1080,windows,40990
133,hp,HP 15s-fq2717TU Laptop (11th Gen Core i3/ 8GB/ 512GB TRUE/ Win11 Home),integrated,0,intel,core i3,8,TRUE,512,FALSE,15.6,1920,1080,windows,31090
134,dell,Dell G15-5520 Gaming Laptop (12th Gen Core i5/ 8GB/ 512GB TRUE/ Win11/ 4GB Graph),dedicated,4,intel,core i5,8,TRUE,512,FALSE,15.6,1920,1080,windows,68990
135,asus,Asus ROG Flow X13 GV301RC-LJ073WS Gaming Laptop (AMD Ryzen 9 6900HS/ 16GB/ 1TB TRUE/ Win11 Home/ 4GB Graph),dedicated,4,amd,ryzen 9,16,TRUE,1024,TRUE,13.4,1920,1200,windows,96389
136,asus,Asus VivoBook 15 X515EA-EJ522WS Laptop (11th Gen Core i5/ 8GB/ 512GB TRUE/ Win11),integrated,0,intel,core i5,8,TRUE,512,FALSE,15.6,1920,1080,windows,43990
137,lenovo,Lenovo IdeaPad Gaming 3 82K10198IN Laptop (11th Gen Core i5/ 8GB/ 512GB TRUE/ Win11 Home/ 4GB Graph),dedicated,4,intel,core i5,8,TRUE,512,FALSE,15.6,1920,1080,windows,45651
138,asus,Asus Vivobook 16X 2022 M1603QA-MB511WS Laptop (Ryzen 5-5600H/ 16GB/ 512GB TRUE/ Win11 Home),integrated,0,amd,ryzen 5,16,TRUE,512,FALSE,16,1920,1200,windows,52990
139,acer,Acer TravelMate TMP214-53 Business Laptop (11th Gen Core i5/ 16GB/ 512GB TRUE/ Win11 Home),integrated,0,intel,core i5,16,TRUE,512,FALSE,14,1920,1080,windows,38990
140,asus,Asus Vivobook 15 Touch X515EA-EZ311WS Laptop (11th Gen Core i3/ 8GB/ 512GB TRUE/ Win11 Home),integrated,0,intel,core i3,8,TRUE,512,TRUE,15.6,1920,1080,windows,33490
141,apple,Apple MacBook Pro 2022 Laptop (Apple M2/ 8GB/ 256GB TRUE/ macOS),apple,0,apple,m2,8,TRUE,256,FALSE,13.3,2560,1600,mac,109990
142,asus,Asus Vivobook S15 OLED K3502ZA-L701WS Laptop (12th Gen Core i7/ 16GB/ 512GB TRUE/ Win11),integrated,0,intel,core i7,16,TRUE,512,FALSE,15.6,1920,1080,windows,72990
143,hp,HP 15s-eq2144au Laptop (Ryzen 5 5500U/ 8GB/ 512GB TRUE/ Win11 Home),integrated,0,amd,ryzen 5,8,TRUE,512,FALSE,15.6,1920,1080,windows,40499
144,hp,HP Spectre x360 16-aa0665TU Laptop (Intel Core Ultra 7/ 32GB/ 2TB TRUE/ Win11 Home),integrated,0,intel,core ultra 7,32,TRUE,2048,TRUE,16,2880,1800,windows,202340
145,lenovo,Lenovo V15 G4 82YU00W9IN Laptop (Ryzen 5 7520U/ 8GB/ 512GB TRUE/ Win11 Home),integrated,0,amd,ryzen 5,8,TRUE,512,FALSE,15.6,1920,1080,windows,35990
147,lenovo,Lenovo IdeaPad Slim 3 82H803HQIN Laptop (11th Gen Core i5/ 8GB/ 512GB TRUE/ Win11),integrated,0,intel,core i5,8,TRUE,512,FALSE,15.6,1920,1080,windows,44990
150,dell,Dell 5530 G15 Gaming Laptop (13th Gen Core i9/ 16GB/ 1TB TRUE/ Win11/ 8GB Graph),dedicated,8,intel,core i9,16,TRUE,1024,FALSE,15.6,1920,1080,windows,148490
151,hp,HP Spectre x360 14-eu0666TU Laptop (Intel Core Ultra 7/ 32GB/ 1TB TRUE/ Win11 Home),integrated,0,intel,core ultra 7,32,TRUE,1024,TRUE,14,2880,1800,windows,165900
152,apple,Apple MacBook Pro 16 2023 Laptop (Apple M3 Pro/ 36GB/ 512GB TRUE/ macOS),apple,0,apple,m3,36,TRUE,512,FALSE,16.2,3456,2234,mac,289900
153,apple,Apple MacBook Pro 16 2023 Laptop (Apple M3 Max/ 36GB/ 1TB TRUE/ macOS),apple,0,apple,m3,36,TRUE,1024,FALSE,16.2,3456,2234,mac,349900
154,apple,Apple MacBook Pro 16 2023 Laptop (Apple M3 Pro/ 18GB/ 512GB TRUE/ macOS),apple,0,apple,m3,8,TRUE,512,FALSE,16.2,3456,2234,mac,249900
155,apple,Apple MacBook Pro 14 2023 Laptop (Apple M3 Pro/ 18GB/ 512GB TRUE/ macOS),apple,0,apple,m3,8,TRUE,512,FALSE,14.2,3024,1964,mac,199900
156,lenovo,Lenovo Legion Pro 5 16IRX8 82WK00MWIN Gaming Laptop (13th Gen Core i7/ 16GB/ 1TB TRUE/ Win11/ 8GB Graph),dedicated,8,intel,core i7,16,TRUE,1024,FALSE,16,2560,1600,windows,152990
157,dell,Dell Inspiron 3520 IN3520P9K46002ORS1 Laptop (12th Gen Core i3/ 8GB/ 512GB TRUE/ Win11),integrated,0,intel,core i3,8,TRUE,512,FALSE,15.6,1920,1080,windows,37990
158,hp,HP Victus 15-FA1098TX Laptop (12th Gen Core i5/ 8GB/ 512GB TRUE/ Win11 Home/ 4GB Graph),dedicated,4,intel,core i5,8,TRUE,512,FALSE,15.6,1920,1080,windows,60990
159,hp,HP 15s-er2004AU Laptop (AMD Ryzen 7 5700U/ 16GB/ 512GB TRUE/ Win11),integrated,0,amd,ryzen 7,16,TRUE,512,FALSE,15.6,1920,1080,windows,50999
160,dell,Dell Inspiron 3530 IN3530RMD8W001ORS1 Laptop (13th Gen Core i5/ 16GB/ 1TB TRUE/ Win11 Home),integrated,0,intel,core i5,16,TRUE,1024,FALSE,15.6,1920,1080,windows,65990
161,acer,Acer Aspire 3 A315-24P NX.KDESI.00B Laptop (AMD Ryzen 5 7520U/ 8GB/ 512GB TRUE/ Win11 Home),integrated,0,amd,ryzen 5,8,TRUE,512,FALSE,15.6,1920,1080,windows,32990
162,asus,Asus Vivobook 16 2023 X1605ZAB-MB342WS Laptop (12th Gen Core i3/ 16GB/ 512GB TRUE/ Win11 Home),integrated,0,intel,core i3,16,TRUE,512,FALSE,16,1920,1200,windows,47990
163,lenovo,Lenovo Legion Slim 5 82Y9009JIN Gaming Laptop (AMD Ryzen 7 7840HS/ 16GB/ 1TB TRUE/ Win11/ 8GB Graph),dedicated,8,amd,ryzen 7,16,TRUE,1024,FALSE,16,2560,1600,windows,132190
164,ultimus,Ultimus Lite NU14U4INC44BN-CS Laptop (Celeron N4020/ 4GB/ 256GB TRUE/ Win11 Home),integrated,0,intel,celeron,4,TRUE,256,FALSE,14.1,1366,768,windows,14990
165,zebronics,Zebronics Pro Series Z ZEB-NBC 3S 2023 Laptop (12th Gen Core i3 / 8GB/ 512GB TRUE/ Win11 Home),integrated,0,intel,core i3,8,TRUE,512,FALSE,15.6,1920,1080,windows,33990
166,hp,HP Spectre x360 14-eu0556TU Laptop (Intel Core Ultra 7/ 32GB/ 1TB TRUE/ Win11 Home),integrated,0,intel,core ultra 7,32,TRUE,1024,TRUE,14,2880,1800,windows,165900
167,hp,HP 15s-fq5185TU Laptop (12th Gen Core i3/ 8GB/ 512GB TRUE/ Win11 Home),integrated,0,intel,core i3,8,TRUE,512,FALSE,15.6,1920,1080,windows,39700
168,zebronics,Zebronics Pro Series Y ZEB-NBC 2S Laptop (11th Gen Core i5 / 16GB/ 512GB TRUE/ Win11 Home),integrated,0,intel,core i5,16,TRUE,512,FALSE,15.6,1920,1080,windows,32990
169,zebronics,Zebronics ZEB-NBC 5S 2023 Laptop (12th Gen Core i7 / 16GB/ 1TB TRUE/ Win11 Home),integrated,0,intel,core i7,16,TRUE,1024,FALSE,15.6,1920,1080,windows,52990
170,zebronics,Zebronics Pro Series Y ZEB-NBC 1S Laptop (11th Gen Core i3 / 8GB/ 512GB TRUE/ Win11 Home),integrated,0,intel,core i3,8,TRUE,512,FALSE,15.6,1920,1080,windows,29990
171,hp,HP Pavilion 14-dv2153TU Laptop (12th Gen Core i5/ 16GB/ 1TB TRUE/ Win 11),integrated,0,intel,core i5,16,TRUE,1024,FALSE,14,1920,1080,windows,68710
172,lenovo,Lenovo IdeaPad Gaming 3 82SB00V2IN Laptop (AMD Ryzen 5 6600H/ 8GB/ 512GB TRUE/ Win11 Home/ 4GB Graph),dedicated,4,amd,ryzen 5,8,TRUE,512,FALSE,15.6,1920,1080,windows,61712
173,asus,Asus ROG Strix G15 G513RC-HN251WS Gaming Laptop (AMD Ryzen 7 6800H/ 16GB/ 1TB TRUE/ Win11/ 4GB Graph),dedicated,4,amd,ryzen 7,16,TRUE,1024,FALSE,15.6,1920,1080,windows,91990
174,hp,HP Victus 15-fa1132TX Laptop (12th Gen Core i5/ 8GB/ 512GB TRUE/ Win11 Home/ 4GB Graph),dedicated,4,intel,core i5,8,TRUE,512,FALSE,15.6,1920,1080,windows,60990
175,chuwi,Chuwi FreeBook Laptop (12th Gen Core i3/ 12GB/ 512GB TRUE/ Win11),integrated,0,intel,core i3,12,TRUE,512,TRUE,13.5,2256,1504,windows,32990
176,acer,Acer Swift Go NXKPZSI002 Laptop (13th Gen Core i5/ 16GB/ 512GB TRUE/ Win11 Home),integrated,0,intel,core i5,16,TRUE,512,FALSE,14,2880,1800,windows,72990
177,hp,HP 255 G9 841W6PA Laptop (AMD Ryzen 3 3250U/ 8 GB RAM/ 512 GB TRUE/ FreeDOS),integrated,0,amd,ryzen 3,8,TRUE,512,FALSE,15.6,1366,768,dos,23999
178,gigabyte,Gigabyte G5 MF-F2IN313SH Laptop (12th Gen Core i5/ 16GB/ 512GB TRUE/ Win11 Home/ 6GB Graph),dedicated,6,intel,core i5,16,TRUE,512,FALSE,15.6,1920,1080,windows,71990
179,asus,Asus Zenbook Flip 14 OLED UP5401ZA-KU541WS Laptop (12th Gen Core i5/ 16GB/ 512GB TRUE/ Win11 Home),integrated,0,intel,core i5,16,TRUE,512,TRUE,14,3840,2400,windows,84990
180,asus,Asus Chromebook CX1500CKA-EJ0241 Laptop (Celeron N4500/ 4GB/ 64GB eMMC/ Chrome OS),integrated,0,intel,celeron,4,TRUE,64,FALSE,15.6,1920,1080,chrome,17990
181,lenovo,Lenovo IdeaPad 1 15IGL7 82V700BSIN Laptop (Celeron N4020/ 8GB/ 256GB TRUE/ Win11 Home),integrated,0,intel,celeron,8,TRUE,256,FALSE,15.6,1366,768,windows,25790
182,hp,HP 255 G8 7J035AA Laptop (Ryzen 5-5500U/ 8GB/ 256GB TRUE/ Win11),integrated,0,amd,ryzen 5,8,TRUE,256,FALSE,15.6,1920,1080,windows,31999
183,acer,Acer Predator Helios Neo 16 2023 PHN16-71 Gaming Laptop (13th Gen Core i9/ 16GB/ 1TB TRUE/ Win11/ 8GB Graph),dedicated,8,intel,core i9,16,TRUE,1024,FALSE,16,1920,1200,windows,179990
184,asus,Asus TUF Gaming F15 FX506HE-HN382W Gaming Laptop (11th Gen Core i7/ 16GB/ 512GB TRUE/ Win11/ 4GB Graph),dedicated,4,intel,core i7,16,TRUE,512,FALSE,15.6,1920,1080,windows,72990
185,hp,HP Victus 15-fa0187TX Gaming Laptop (12th Gen Core i7/ 16GB/ 1TB TRUE/ Win11/ 4GB Graph),dedicated,4,intel,core i7,16,TRUE,1024,FALSE,15.6,1920,1080,windows,92800
186,lenovo,Lenovo IdeaPad 3 82KU024JIN Laptop (AMD Ryzen 7 5700U/ 16GB/ 512GB TRUE/ Win11 Home),integrated,0,amd,ryzen 7,16,TRUE,512,FALSE,15.6,1920,1080,windows,48990
187,msi,MSI Modern 14 C12M-459IN Laptop (12th Gen Core i7/ 16GB/ 512GB TRUE/ Win11 Home),integrated,0,intel,core i7,16,TRUE,512,FALSE,14,1920,1080,windows,54990
188,wings,Wings Nuvobook Pro Laptop (11th Gen Core i7/ 16GB/ 512GB TRUE/ Win11),integrated,0,intel,core i7,16,TRUE,512,FALSE,14,1080,1920,windows,39990
189,wings,Wings Nuvobook S1 Laptop (11th Gen Core i3/ 8GB/ 256GB TRUE/ Win11),integrated,0,intel,core i3,8,TRUE,256,FALSE,15.6,1080,1920,windows,24990
190,msi,MSI Thin GF63 11UCX-1492IN Gaming Laptop (11th Gen Core i5/ 16GB/ 1TB 256GB TRUE/ Win11 Home/ 4GB Graph),dedicated,4,intel,core i5,16,FALSE,1024,FALSE,15.6,1920,1080,windows,61990
191,infinix,Infinix INBook X3 Slim XL422 Laptop (12th Gen Core i5/ 16GB/ 512GB TRUE/ Win 11 Home),integrated,0,intel,core i5,16,TRUE,512,FALSE,14,1920,1080,windows,38990
192,hp,HP Pavilion 15-eg3017TU Laptop (13th Gen Core i5/ 16GB/ 1TB TRUE/ Win11 Home),integrated,0,intel,core i5,16,TRUE,1024,FALSE,15.6,1920,1080,windows,72999
193,msi,MSI Thin GF63 11SC-1494IN Gaming Laptop (11th Gen Core i5/ 8GB/ 512GB TRUE/ Win11 Home/ 4GB Graph),dedicated,4,intel,core i5,8,TRUE,512,FALSE,15.6,1920,1080,windows,52990
194,msi,MSI Thin GF63 11UC-1490IN Gaming Laptop (11th Gen Core i5/ 16GB/ 1TB 256GB TRUE/ Win11 Home/ 4GB Graph),dedicated,4,intel,core i5,16,FALSE,1024,FALSE,15.6,1920,1080,windows,62990
195,hp,HP Victus 16-s0089AX Gaming Laptop (AMD Ryzen 7 7840HS/ 16GB/ 1TB TRUE/ Win11/ 4GB Graph),dedicated,4,amd,ryzen 7,16,TRUE,1024,FALSE,16.1,1920,1080,windows,87090
196,lenovo,Lenovo IdeaPad Slim 5i 82XF003CIN Laptop (13th Gen Core i5/ 16GB/ 512GB TRUE/ Win11),integrated,0,intel,core i5,16,TRUE,512,FALSE,16,1920,1200,windows,70590
197,lenovo,Lenovo LOQ 15IRH8 82XV00F4IN 2023 Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB TRUE/ Win11/ 4GB Graph),dedicated,4,intel,core i5,16,TRUE,512,FALSE,15.6,1920,1080,windows,66990
198,lenovo,Lenovo LOQ 15IRH8 82XV00BRIN 2023 Gaming Laptop (13th Gen Core i7/ 16GB/ 512GB TRUE/ Win11/ 8GB Graph),dedicated,8,intel,core i7,16,TRUE,512,FALSE,15.6,1920,1080,windows,114990
199,lenovo,Lenovo LOQ 15IRH8 82XV00BQIN 2023 Gaming Laptop (13th Gen Core i7/ 16GB/ 512GB TRUE/ Win11/ 6GB Graph),dedicated,6,intel,core i7,16,TRUE,512,FALSE,15.6,1920,1080,windows,99990
200,hp,HP 240 G8 689U2PA Business Laptop (11th Gen Core i3/ 8GB/ 512 GB TRUE/ Win11),integrated,0,intel,core i3,8,TRUE,512,FALSE,14,1366,768,windows,34990
201,hp,HP Victus 16-D0314TX Gaming Laptop (11th Gen Core i5/ 16GB/ 512GB TRUE/ Win11/ 4GB Graph),dedicated,4,intel,core i5,16,TRUE,512,FALSE,16.1,1920,1080,windows,64500
202,hp,HP Omen 16-wf1026TX Gaming Laptop (14th Gen Core i7/ 16GB/ 1TB TRUE/ Win11 Home/ 8GB Graph),dedicated,8,intel,core i7,16,TRUE,1024,FALSE,16.1,2560,1440,windows,176499
203,jio,Jio JioBook NB1112MM BLU 2023 Netbook Laptop (Octa Core/ 4GB/ 64GB eMMC/ JioOS),integrated,0,other,other,4,FALSE,64,FALSE,11.6,1366,768,other,14701
204,asus,Asus Zenbook 14X OLED 2023 UX5401ZA-KM541WS Laptop (12th Gen Core i5/ 16GB/ 512GB TRUE/ Win11 Home),integrated,0,intel,core i5,16,TRUE,512,FALSE,14,2880,1800,windows,74990
205,asus,Asus Vivobook 16X 2023 K3605ZV-MB741WS Laptop (12th Gen Core i7/ 16GB/ 512GB TRUE/ Win11 Home/ 8GB Graph),dedicated,8,intel,core i7,16,TRUE,512,FALSE,16,1920,1200,windows,104990
206,hp,HP Omen 16-wd0880TX Gaming Laptop (13th Gen Core i5/ 16GB/ 512GB TRUE/ Win11 Home/ 6GB Graph),dedicated,6,intel,core i5,16,TRUE,512,FALSE,16.1,2560,1440,windows,94990
207,dell,Dell G15-5520 2023 Laptop (12th Gen Core i5/ 16GB/ 1TB TRUE/ Win11 Home/ 4GB Graph),dedicated,4,intel,core i5,16,TRUE,1024,FALSE,15.6,1920,1080,windows,77490
208,chuwi,Chuwi CoreBook X Laptop (10th Gen Core i3/ 8GB/ 512GB TRUE/ Win11),integrated,0,intel,core i3,8,TRUE,512,FALSE,14,1920,1200,windows,24990
209,msi,MSI Modern 14 C11M-029IN Laptop (11th Gen Core i5/ 16GB/ 512GB TRUE/ Win11 Home),integrated,0,intel,core i5,16,TRUE,512,FALSE,14,1920,1080,windows,39990
210,hp,HP 15s-ey2001AU Laptop (AMD Ryzen 7 5700U/ 16GB/ 512GB TRUE/ Win11 Home),integrated,0,amd,ryzen 7,16,TRUE,512,FALSE,15.6,1920,1080,windows,55990
211,infinix,Infinix Zerobook ZL513 2023 Laptop (13th Gen Core i5/ 16GB/ 512GB TRUE/ Win 11 Home),integrated,0,intel,core i5,16,TRUE,512,FALSE,15.6,1920,1080,windows,48990
212,dell,Dell Inspiron 3525 Laptop (AMD Ryzen 5 5500U/ 8GB/ 512GB TRUE/ Win11),integrated,0,amd,ryzen 5,8,TRUE,512,FALSE,15.6,1920,1080,windows,39240
213,asus,Asus Vivobook 16X 2023 K3605ZU-MB741WS Laptop (12th Gen Core i7/ 16GB/ 512GB TRUE/ Win11 Home/ 6GB Graph),dedicated,6,intel,core i7,16,TRUE,512,FALSE,16,1920,1200,windows,90060
214,asus,Asus TUF Gaming F15 2022 FX507ZC4-HN116W Gaming Laptop (12th Gen Core i5/ 16GB/512GB TRUE/ Win11 / 4GB Graph),dedicated,4,intel,core i5,16,TRUE,512,FALSE,15.6,1920,1080,windows,85800
215,asus,Asus Vivobook 16X 2023 K3605ZF-MBN524WS Laptop (12th Gen Core i5/ 8GB/ 512GB TRUE/ Win11 Home/ 4GB Graph),dedicated,4,intel,core i5,8,TRUE,512,FALSE,16,1920,1200,windows,57990
216,asus,Asus Vivobook 15 X1502ZA-EJ541WS Laptop (12th Gen Core i5/ 16GB/ 512GB TRUE/ Win11),integrated,0,intel,core i5,16,TRUE,512,FALSE,15.6,1920,1080,windows,60990
217,hp,HP Pavilion 15-eg3079TU Laptop (13th Gen Core i5/ 16GB/ 512GB TRUE/ Win11 Pro),integrated,0,intel,core i5,16,TRUE,512,FALSE,15.6,1920,1080,windows,73020
218,msi,MSI Modern 14 C12M-671IN Laptop (12th Gen Core i7/ 16GB/ 512GB TRUE/ Win11 Home),integrated,0,intel,core i7,16,TRUE,512,FALSE,14,1920,1080,windows,53990
219,msi,MSI Thin GF63 11UC-1474IN Gaming Laptop (11th Gen Core i5/ 16GB/ 512GB TRUE/ Win11 Home/ 4GB Graph),dedicated,4,intel,core i5,16,TRUE,512,FALSE,15.6,1920,1080,windows,56990
220,lenovo,Lenovo V15 G3 IAP 82TTA00UIH Laptop (12th Gen Core i3/ 8GB/ 512GB TRUE/ DOS),integrated,0,intel,core i3,8,TRUE,512,FALSE,15.6,1920,1080,dos,32980
221,msi,MSI Modern 14 C12M-444IN Laptop (12th Gen Core i3/ 16GB/ 512GB TRUE/ Win11 Home),integrated,0,intel,core i3,16,TRUE,512,FALSE,14,1920,1080,windows,36990
222,asus,Asus Vivobook Pro 15 M6500QF-HN521WS Laptop (Ryzen 5 5600HS/ 8GB/ 512GB TRUE/ Win11/ 4GB Graph),dedicated,4,amd,ryzen 5,8,TRUE,512,FALSE,15.6,1920,1080,windows,59990
223,asus,Asus VivoBook 14 X415EA-EK326WS Notebook (11th Gen Core i3/ 8GB/ 512GB TRUE/ Win11 Home),integrated,0,intel,core i3,8,TRUE,512,FALSE,14,1920,1080,windows,31990
224,apple,Apple MacBook Air 15 2023 Laptop (Apple M2/ 8GB/ 512GB TRUE/ MacOS),apple,0,apple,m2,8,TRUE,512,FALSE,15.3,2880,1864,mac,144990
225,infinix,Infinix INBook X2 Slim Series Laptop (11th Gen Core i3/ 8GB/ 512GB TRUE/ Win 11 Home),integrated,0,intel,core i3,8,TRUE,512,FALSE,14,1920,1080,windows,25990
226,acer,Acer Aspire 3 A315-59 NX.K6TSI.00C Laptop (12th Gen Core i3/ 8GB/ 512GB TRUE/ Win11),integrated,0,intel,core i3,8,TRUE,512,FALSE,15.6,1920,1080,windows,31990
227,dell,Dell Inspiron 3520 D560872WIN9S Laptop (12th Gen Core i5/ 16GB/ 512GB TRUE/ Win11),integrated,0,intel,core i5,16,TRUE,512,FALSE,15.6,1920,1080,windows,57300
228,acer,Acer One 14 Z8-415UN.599SI.009 Laptop (11th Gen Core i3 / 8GB/ 256GB TRUE/ Win11 Home),integrated,0,intel,core i3,8,TRUE,256,FALSE,14,1920,1080,windows,29990
229,hp,HP Victus 15-fb0131AX Gaming Laptop (AMD Ryzen 5 5600H/ 8GB/ 512GB TRUE/ Win11/ 4GB Graph),dedicated,4,amd,ryzen 5,8,TRUE,512,FALSE,15.6,1920,1080,windows,49990
230,asus,Asus Vivobook 15 X1502ZA-EJ542WS Laptop (12th Gen Core i5/ 16GB/ 512GB TRUE/ Win11),integrated,0,intel,core i5,16,TRUE,512,FALSE,15.6,1920,1080,windows,56500
231,asus,Asus Vivobook 15 M1502QA-EJ742WS Laptop (Ryzen 7 5800H/ 16GB/ 512GB TRUE/ Win11),integrated,0,amd,ryzen 7,16,TRUE,512,FALSE,15.6,1920,1080,windows,56990
232,acer,Acer Aspire 7 A715-76G NH.QMFSI.004 Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB TRUE/ Win11 Home/ 4GB Graph),dedicated,4,intel,core i5,16,TRUE,512,FALSE,15.6,1920,1080,windows,60990
233,acer,Acer Aspire 5 14 A514-56GM 2023 Gaming Laptop (13th Gen Core i5/ 16GB/ 512GB TRUE/ Win11 Home/ 4GB Graph),dedicated,4,intel,core i5,16,TRUE,512,FALSE,14,1920,1080,windows,56990
234,asus,ASUS TUF Gaming A16 Advantage Edition FA617XS-N3025WS Gaming Laptop (AMD Ryzen 9 7940HS / 16GB/ 1TB TRUE/ Win11 Home/ 8GB Graph),dedicated,8,amd,ryzen 9,16,TRUE,1024,FALSE,15.6,1920,1200,windows,119990
235,asus,Asus ROG Strix G16 2023 G614JV-N4141WS Gaming Laptop (13th Gen Core i9/ 16GB/ 1TB TRUE/ Win11/ 8GB Graph),dedicated,8,intel,core i9,16,TRUE,1024,FALSE,16,2560,1600,windows,179990
236,asus,Asus ROG Strix G16 2023 G614JI-N4151WS Gaming Laptop (13th Gen Core i9/ 16GB/ 1TB TRUE/ Win11/ 8GB Graph),dedicated,8,intel,core i9,16,TRUE,1024,FALSE,16,2560,1600,windows,189990
237,asus,Asus ROG Strix G16 2023 G614JU-N3200WS Gaming Laptop (13th Gen Core i7/ 16GB/ 1TB TRUE/ Win11/ 6GB Graph),dedicated,6,intel,core i7,16,TRUE,1024,FALSE,16,1920,1200,windows,121489
238,asus,Asus Vivobook 15 X1502ZA-EJ532WS Laptop (12th Gen Core i5/ 8GB/ 512GB TRUE/ Win11),integrated,0,intel,core i5,8,TRUE,512,FALSE,15.6,1920,1080,windows,47830
239,hp,HP 15s-fr4001TU Laptop (11th Gen Core i5/16GB/ 512GB TRUE/ Win11 Home),integrated,0,intel,core i5,16,TRUE,512,FALSE,15.6,1920,1080,windows,52490
240,msi,MSI Katana 15 B12UDXK-1005IN Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB TRUE/ Win11 Home/ 6GB Graph),dedicated,6,intel,core i5,16,TRUE,512,FALSE,15.6,1920,1080,windows,67990
241,hp,HP 15s-fr5009TU Laptop (12th Gen Core i3/ 8GB/ 512GB TRUE/ Win11 Home),integrated,0,intel,core i3,8,TRUE,512,FALSE,15.6,1920,1080,windows,40190
242,hp,HP 15-fd0013TU Laptop (13th Gen Core i5/ 16GB/ 512GB TRUE/ Win11 Home),integrated,0,intel,core i5,16,TRUE,512,FALSE,15.6,1920,1080,windows,61990
243,asus,Asus Vivobook 16X 2023 K3605VC-MB542WS Laptop (13th Gen Core i5/ 16GB/ 512GB TRUE/ Win11 Home/ 4GB Graph),dedicated,4,intel,core i5,16,TRUE,512,FALSE,16,1920,1200,windows,89990
244,asus,Asus TUF Gaming F17 FX706HF-HX018W Laptop (11th Gen Core i5/ 8GB/ 512GB TRUE/ Win11/ 4GB Graph),dedicated,4,intel,core i5,8,TRUE,512,FALSE,17.3,1920,1080,windows,55689
245,hp,HP 15-eg3036TU Laptop (13th Gen Core i7/ 16GB/ 1TB TRUE/ Win11 Home),integrated,0,intel,core i7,16,TRUE,1024,FALSE,15.6,1920,1080,windows,89490
246,acer,Acer Predator Helios Neo 16 PHN16-71 Gaming Laptop (13th Gen Core i7/ 16GB/ 1TB TRUE/ Win11/ 6GB Graph),dedicated,6,intel,core i7,16,TRUE,1024,FALSE,16,1920,1200,windows,119990
247,msi,MSI Cyborg 15 A12UCX-264IN Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB TRUE/ Win11/ 4GB Graph),dedicated,4,intel,core i5,16,TRUE,512,FALSE,15.6,1920,1080,windows,65490
248,hp,HP 15-fc0026AU Laptop (AMD Ryzen 3 7320U/ 8GB/ 512GB TRUE/ Win11 Home),integrated,0,amd,ryzen 3,8,TRUE,512,FALSE,15.6,1920,1080,windows,34990
249,asus,Asus Vivobook S14 Flip 2022 TN3402QA-LZ741WS Laptop (AMD Ryzen 7-5800H/ 16GB/ 512GB TRUE/Win11),integrated,0,amd,ryzen 7,16,TRUE,512,TRUE,14,1920,1200,windows,69990
250,asus,Asus Vivobook S15 OLED 2023 S5504VA-MA543WS Laptop (13th Gen Core i5/ 16GB/ 512GB TRUE/ Win11),integrated,0,intel,core i5,16,TRUE,512,FALSE,15.6,2880,1620,windows,78990
251,asus,Asus Vivobook S15 OLED 2023 S5504VA-MA953WS Laptop (13th Gen Core i9/ 16GB/ 1TB TRUE/ Win11),integrated,0,intel,core i9,16,TRUE,1024,FALSE,15.6,2880,1620,windows,105739
252,asus,Asus Vivobook 15 2023 X1504VA-NJ324WS Laptop (13th Gen Core i3/ 8GB/ 512GB TRUE/ Win11),integrated,0,intel,core i3,8,TRUE,512,FALSE,15.6,1920,1080,windows,42990
253,honor,Honor MagicBook X14 2023 FRI-F56 Laptop (12th Gen Core i5/ 16GB/ 512GB TRUE/ Win11 Home),integrated,0,intel,core i5,16,TRUE,512,FALSE,14,1920,1200,windows,54990
254,lenovo,Lenovo E41-55 Laptop (Athlon Silver 3050U/ 8GB/ 256GB TRUE/ Win11),integrated,0,amd,other,8,TRUE,256,FALSE,14,1920,1080,windows,21990
255,lenovo,Lenovo V15 G3 82TTA00VIH Laptop (12th Gen Core i3/ 8GB/ 512GB TRUE/Win11),integrated,0,intel,core i3,8,TRUE,512,FALSE,15.6,1920,1080,windows,33400
256,hp,HP Victus 15-fb0108AX Gaming Laptop (AMD Ryzen 5 5600H/ 8GB/ 512GB TRUE/ Win11/ 4GB Graph),dedicated,4,amd,ryzen 5,8,TRUE,512,FALSE,15.6,1920,1080,windows,50990
257,dell,Dell Vostro 3425 M552321WIN9S Laptop (AMD Ryzen 5 5625U/ 16GB/ 512GB TRUE/ Win11 Home),integrated,0,amd,ryzen 5,16,TRUE,512,FALSE,14,1920,1080,windows,50990
258,msi,MSI Modern 14 C7M-062IN Laptop (Ryzen 5 7530U/ 16GB/ 512GB TRUE/ Win11),integrated,0,amd,ryzen 5,16,TRUE,512,FALSE,14,1920,1080,windows,43990
